95,Medpace Holdings Inc,MEDP,421.5,Medical V,https://finviz.com/quote?t=MEDP&p=d,MEDP - Medpace Holdings Inc Stock Price and Quote
96,Guardant Health,GH,94.77,Biotechnology,https://finviz.com/quote?t=GH&p=d,GH - Guardant Health Inc Stock Price and Quote
97,Globus Medical Inc,GMED,91,Healthcare Products,https://finviz.com/quote?t=GMED&p=d,GMED - Globus Medical Inc Stock Price and Quote
98,CooperCompanies,COO,60.52,Medical Devices,https://finviz.com/quote?t=COO&p=d,COO - Cooper Companies Inc Stock Price and Quote
99,Orion Oyj Class B,OFK,69.15,Pharmaceuticals Manufacturer,,
100,AxSome Therapeutics,AXSM,216,Pharmaceuticals,https://finviz.com/quote?t=AXSM&p=d,AXSM - Axsome Therapeutics Inc Stock Price and Quote
101,Fresenius Medical Care KGaA,FME,37.02,Healthcare,,
102,Arrowhead Pharmaceuticals,ARWR,77.75,Biotechnology,https://finviz.com/quote?t=ARWR&p=d,ARWR - Arrowhead Pharmaceuticals Inc Stock Price and Quote
103,Revvity Inc,RVTY,99.49,Technology,https://finviz.com/quote?t=RVTY&p=d,RVTY - Revvity Inc Stock Price and Quote
104,Olympus Corp.,OLY1,8.51,Medical Technology Company,,
105,Biomarin Pharmaceutical,BMRN,54.12,Biotechnology,https://finviz.com/quote?t=BMRN&p=d,BMRN - Biomarin Pharmaceutical Inc Stock Price and Quote
106,Insulet Corporation,PODD,159.1,Medical technology,https://finviz.com/quote?t=PODD&p=d,PODD - Insulet Corp Stock Price and Quote
107,Encompass Health Corp,EHC,104.45,Healthcare v,https://finviz.com/quote?t=EHC&p=d,EHC - Encompass Health Corp Stock Price and Quote
108,Molina Healthcare,MOH,194.65,Healthcare v,https://finviz.com/quote?t=MOH&p=d,MOH - Molina Healthcare Inc Stock Price and Quote
109,Universal Health Services,UHS,173.7,Healthcare,https://finviz.com/quote?t=UHS&p=d,UHS - Universal Health Services Inc Stock Price and Quote
110,The Ensign Group,ENSG,174,Healthcare V,https://finviz.com/quote?t=ENSG&p=d,ENSG - Ensign Group Inc Stock Price and Quote
111,Abivax SA,2X1,105.65,Clinical Biotechnology,,
112,Brightspring Health Services Inc,BTSG,53.77,Healthcare,https://finviz.com/quote?t=BTSG&p=d,BTSG - BrightSpring Health Services Inc Stock Price and Quote
113,BioMerieux,EYWN,71.9,Biotechnology,,
114,Fr eMpus Al,TEM,49.24,Medical Data V,https://finviz.com/quote?t=TEM&p=d,TEM - Tempus AI Inc Stock Price and Quote
115,ICON,ICLR,124.5,Healthcare,https://finviz.com/quote?t=ICLR&p=d,ICLR - Icon Plc Stock Price and Quote
116,Praxis Precision Medicines Inc,PRAX,332.72,Biotechnology v,https://finviz.com/quote?t=PRAX&p=d,PRAX - Praxis Precision Medicines Inc Stock Price and Quote
117,Masimo,MASI,177,Medical V,https://finviz.com/quote?t=MASI&p=d,MASI - Masimo Corp Stock Price and Quote
118,Cytokinetics,CYTK,73.88,Biotech V,https://finviz.com/quote?t=CYTK&p=d,CYTK - Cytokinetics Inc Stock Price and Quote
119,Charles River Laboratories,CRL,176,Pharmaceuticals V,https://finviz.com/quote?t=CRL&p=d,CRL - Charles River Laboratories International Inc Stock Price and Quote
120,Baxter,BAX,16.87,Medical Instruments,https://finviz.com/quote?t=BAX&p=d,BAX - Baxter International Inc Stock Price and Quote
121,ImmunityBio,IBRX,7.63,Biotechnology v,https://finviz.com/quote?t=IBRX&p=d,IBRX - ImmunityBio Inc Stock Price and Quote
122,OK Krystal Biotech Inc,KRYS,293.28,Biotech,https://finviz.com/quote?t=KRYS&p=d,KRYS - Krystal Biotech Inc Stock Price and Quote
123,Eisai Co. Ltd.,EII,25.54,Global Pharmaceutical Company,,
124,Henry Schein,HSIC,71.42,Dental V,https://finviz.com/quote?t=HSIC&p=d,HSIC - Henry Schein Inc Stock Price and Quote
125,Vaxcyte,PCVX,51.45,Biotechnology V,https://finviz.com/quote?t=PCVX&p=d,PCVX - Vaxcyte Inc Stock Price and Quote
126,Nuvalent,NUVL,105.42,Biotechnology,https://finviz.com/quote?t=NUVL&p=d,NUVL - Nuvalent Inc Stock Price and Quote
127,Kyowa Kirin Co. Ltd.,KY4,12.55,Specialty Biopharmaceutical Comp...,,
128,Glaukos,GKOS,134.26,Healthcare,https://finviz.com/quote?t=GKOS&p=d,GKOS - Glaukos Corp Stock Price and Quote
129,Halozyme Therapeutics,HALO,67.1,Biotechnology,https://finviz.com/quote?t=HALO&p=d,HALO - Halozyme Therapeutics Inc Stock Price and Quote
130,Bachem Holding AG,BHMO,89,Biotechnology,,
131,Bio-Techne,TECH,49.65,Biotechnology,https://finviz.com/quote?t=TECH&p=d,TECH - Bio-Techne Corp Stock Price and Quote
132,Qiagen,QGEN,32.68,Biotechnology,https://finviz.com/quote?t=QGEN&p=d,QGEN - Qiagen NV Stock Price and Quote
133,Kymera Therapeutics,KYMR,86.55,Healthcare,https://finviz.com/quote?t=KYMR&p=d,KYMR - Kymera Therapeutics Inc Stock Price and Quote
134,Repligen,RGEN,129.4,Biotechnology,https://finviz.com/quote?t=RGEN&p=d,RGEN - Repligen Corp Stock Price and Quote
135,Bio Rad Laboratories Inc,BIO.B,258.53,Clinical diagnostics,,
136,Bio-Rad Laboratories,BIO,257.45,Medical Products,https://finviz.com/quote?t=BIO&p=d,BIO - Bio-Rad Laboratories Inc Stock Price and Quote
137,Ono Pharmaceutical Co. Ltd.,ON4,13.4,Prescription Drug Manufacturer,,
138,Sonic Healthcare Ltd.,SAB,11.64,Medical Diagnostic Services,,
139,Celcuity,CELC,129.75,Therapeutics v,https://finviz.com/quote?t=CELC&p=d,CELC - Celcuity Inc Stock Price and Quote
140,Shimadzu Corp.,XSZ,20.8,Precision Instruments Manufacturer,,
141,TG Therapeutics,TGTX,42.15,Biotech,https://finviz.com/quote?t=TGTX&p=d,TGTX - TG Therapeutics Inc Stock Price and Quote
142,Protagonist Therapeutics Inc,PTGX,98.8,Healthcare v,https://finviz.com/quote?t=PTGX&p=d,PTGX - Protagonist Therapeutics Inc Stock Price and Quote
143,Mirum Pharmaceuticals,MIRM,102.89,Pharmaceuticals,https://finviz.com/quote?t=MIRM&p=d,MIRM - Mirum Pharmaceuticals Inc Stock Price and Quote
144,Rhythm Pharmaceuticals Inc,RYTM,94.52,Pharmaceutical,https://finviz.com/quote?t=RYTM&p=d,RYTM - Rhythm Pharmaceuticals Inc Stock Price and Quote
145,Bruker Corporation,BRKR,42.02,Medical Devices,https://finviz.com/quote?t=BRKR&p=d,BRKR - Bruker Corp Stock Price and Quote
146,Apogee Therapeutics,APGE,81.83,Biotechnology,https://finviz.com/quote?t=APGE&p=d,APGE - Apogee Therapeutics Inc Stock Price and Quote
147,Spyre Therapeutics Inc,SYRE,73.16,Biotechnology,https://finviz.com/quote?t=SYRE&p=d,SYRE - Spyre Therapeutics Inc Stock Price and Quote
148,Ramsay Health Care Ltd.,RMY,22.6,Private Hospital Operator,,
149,Hims & Hers Health Inc,HIMS,26.26,Healthcare,https://finviz.com/quote?t=HIMS&p=d,HIMS - Hims & Hers Health Inc Stock Price and Quote
150,Terns Pharmaceuticals,TERN,52.97,Pharmaceuticals,https://finviz.com/quote?t=TERN&p=d,TERN - Terns Pharmaceuticals Inc Stock Price and Quote
151,Oscar Health Inc.,OSCR,20.36,Health Insurance,https://finviz.com/quote?t=OSCR&p=d,OSCR - Oscar Health Inc Stock Price and Quote
152,Alkermes,ALKS,36.59,Biopharmaceuticals,https://finviz.com/quote?t=ALKS&p=d,ALKS - Alkermes plc Stock Price and Quote
153,Immunovant,IMVT,27.82,Biotechnology,https://finviz.com/quote?t=IMVT&p=d,IMVT - Immunovant Inc Stock Price and Quote
154,Avantor,AVTR,8.32,Science,https://finviz.com/quote?t=AVTR&p=d,AVTR - Avantor Inc Stock Price and Quote
155,CG Oncology Inc.,CGON,69.24,Biotechnology,https://finviz.com/quote?t=CGON&p=d,CGON - Cg Oncology Inc Stock Price and Quote
156,Bausch + Lomb Corp,BLCO,15.94,Healthcare,https://finviz.com/quote?t=BLCO&p=d,BLCO - Bausch + Lomb Corp Stock Price and Quote
157,Chemed Corp,CHE,426.03,Healthcare,https://finviz.com/quote?t=CHE&p=d,CHE - Chemed Corp Stock Price and Quote
158,Lantheus Holdings,LNTH,87.86,Healthcare,https://finviz.com/quote?t=LNTH&p=d,LNTH - Lantheus Holdings Inc Stock Price and Quote
159,Corcept Therapeutics,CORT,49.62,Pharmaceuticals,https://finviz.com/quote?t=CORT&p=d,CORT - Corcept Therapeutics Inc Stock Price and Quote
160,Xenon Pharmaceuticals,XENE,57.14,Pharmaceutical,https://finviz.com/quote?t=XENE&p=d,XENE - Xenon Pharmaceuticals Inc Stock Price and Quote
161,Asahi Intecc Co. Ltd.,6XT,68,Medical Device Manufacturer,,
162,Teleflex,TFX,17.95,Medical Devices,https://finviz.com/quote?t=TFX&p=d,TFX - Teleflex Incorporated Stock Price and Quote
163,Scholar Rock,SRRK,134.84,Biotechnology,https://finviz.com/quote?t=SRRK&p=d,SRRK - Scholar Rock Holding Corp Stock Price and Quote
164,CRISPR Therapeutics AG,CRSP,53.35,Gene Editing V,https://finviz.com/quote?t=CRSP&p=d,CRSP - CRISPR Therapeutics AG Stock Price and Quote
165,Sysmex Corp.,0YX,7.33,In Vitro Diagnostics,,
166,Apellis Pharmaceuticals Inc,APLS,41.04,Pharmaceutical,https://finviz.com/quote?t=APLS&p=d,APLS - Apellis Pharmaceuticals Inc Stock Price and Quote
167,Galenica AG,G70,90.05,Logistics,,
168,Stevanato Group SpA,STVN,17.88,Manufacturing,https://finviz.com/quote?t=STVN&p=d,STVN - Stevanato Group Spa Stock Price and Quote
169,Indivior PLC,INDV,39.46,Pharmaceutical V,https://finviz.com/quote?t=INDV&p=d,INDV - Indivior Pharmaceuticals Inc Stock Price and Quote
170,Dianthus Therapeutics Inc,DNTH,85.46,Biotechnology v,https://finviz.com/quote?t=DNTH&p=d,DNTH - Dianthus Therapeutics Inc Stock Price and Quote
171,Sumitomo Pharma Co. Ltd.,DPM,8.75,Multinational Pharmaceutical Comp...,,
172,Ypsomed Holding AG,OWX,328.6,Medical Technology,,
173,Doximity,DOCS,25.83,Social Networking,https://finviz.com/quote?t=DOCS&p=d,DOCS - Doximity Inc Stock Price and Quote
174,Ligand Pharmaceuticals,LGND,209.87,Biotech v,https://finviz.com/quote?t=LGND&p=d,LGND - Ligand Pharmaceuticals Inc Stock Price and Quote
175,RadNet,RDNT,56.9,Radiology V,https://finviz.com/quote?t=RDNT&p=d,RDNT - Radnet Inc Stock Price and Quote
176,Cochlear Ltd.,OC5,61.4,Hearing Implant Manufacturer,,
177,VeraDermics Inc,MANE,106.55,Biopharmaceutical firm V,https://finviz.com/quote?t=MANE&p=d,MANE - Veradermics Inc Stock Price and Quote
178,Bema = Sotera Health,SHC,15.66,Diagnostics,https://finviz.com/quote?t=SHC&p=d,SHC - Sotera Health Co Stock Price and Quote
179,Kiniksa Pharmaceuticals Ltd,KNSA,56,Biopharmaceutical V,https://finviz.com/quote?t=KNSA&p=d,KNSA - Kiniksa Pharmaceuticals International Plc Stock Price and Quote
180,Ottobock SE & Co Kga,OBCK,62.8,,,
181,Envista,NVST,24.46,Dental Equipment V,https://finviz.com/quote?t=NVST&p=d,NVST - Envista Holdings Corp Stock Price and Quote
182,Crinetics Pharmaceuticals Inc,CRNX,42.5,Biotech,https://finviz.com/quote?t=CRNX&p=d,CRNX - Crinetics Pharmaceuticals Inc Stock Price and Quote
183,Amneal Pharmaceuticals,AMRX,13.73,Pharmaceuticals,https://finviz.com/quote?t=AMRX&p=d,AMRX - Amneal Pharmaceuticals Inc Stock Price and Quote
184,Hinge Health Inc,HNGE,54.75,,https://finviz.com/quote?t=HNGE&p=d,HNGE - Hinge Health Inc Stock Price and Quote
185,Oruka Therapeutics Inc,ORKA,63.58,,https://finviz.com/quote?t=ORKA&p=d,ORKA - Oruka Therapeutics Inc Stock Price and Quote
186,Travere Therapeutics Inc,TVTX,42.7,Biotech,https://finviz.com/quote?t=TVTX&p=d,TVTX - Travere Therapeutics Inc Stock Price and Quote
187,Edgewise Therapeutics,EWTX,36.56,Pharmaceutical v,https://finviz.com/quote?t=EWTX&p=d,EWTX - Edgewise Therapeutics Inc Stock Price and Quote
188,Technologies,IRTC,124.66,Digital Health Care,https://finviz.com/quote?t=IRTC&p=d,IRTC - iRhythm Holdings Inc Stock Price and Quote
189,Waystar,WAY,21.1,Software,https://finviz.com/quote?t=WAY&p=d,WAY - Waystar Holding Corp Stock Price and Quote
190,Alignment Healthcare,ALHC,18.08,Healthcare,https://finviz.com/quote?t=ALHC&p=d,ALHC - Alignment Healthcare Inc Stock Price and Quote
191,Viking Therapeutics,VKTX,31.65,Biotech v,https://finviz.com/quote?t=VKTX&p=d,VKTX - Viking Therapeutics Inc Stock Price and Quote
192,BillionToOne Inc,BLLN,91.56,,https://finviz.com/quote?t=BLLN&p=d,BLLN - Billiontoone Inc Stock Price and Quote
193,Telix Pharmaceuticals Ltd,T3X,9.03,Radiopharmaceutical Biopharmace...,,
194,Liquidia,LQDA,40.94,Biotechnology v,https://finviz.com/quote?t=LQDA&p=d,LQDA - Liquidia Corp Stock Price and Quote
195,Twist Bioscience Corp,TWST,59.04,Bioscience,https://finviz.com/quote?t=TWST&p=d,TWST - Twist Bioscience Corp Stock Price and Quote
196,Acadia Pharmaceuticals,ACAD,22.57,Biotechnology,https://finviz.com/quote?t=ACAD&p=d,ACAD - Acadia Pharmaceuticals Inc Stock Price and Quote
197,Merit Medical Systems,MMSI,63.88,Healthcare,https://finviz.com/quote?t=MMSI&p=d,MMSI - Merit Medical Systems Inc Stock Price and Quote
198,Medipal Holdings Corp.,59Z,15.1,Healthcare Products Wholesaler 0%,,
199,Camurus AB,7CA,51.28,Pharmaceutical,,
200,LivaNova PLC,LIVN,71.49,Medical equipment,https://finviz.com/quote?t=LIVN&p=d,LIVN - LivaNova PLC Stock Price and Quote
201,NewAmsterdam Pharma,NAMS,34.87,Biotech,https://finviz.com/quote?t=NAMS&p=d,NAMS - NewAmsterdam Pharma Company NV Stock Price and Quote
202,Organon & Co.,OGN,13.28,Healthcare V,https://finviz.com/quote?t=OGN&p=d,OGN - Organon & Co Stock Price and Quote
203,Tango Therapeutics Inc,TNGX,23.12,Biotechnology,https://finviz.com/quote?t=TNGX&p=d,TNGX - Tango Therapeutics Inc Stock Price and Quote
204,Erasca Inc,ERAS,10.32,,https://finviz.com/quote?t=ERAS&p=d,ERAS - Erasca Inc Stock Price and Quote
205,Brookdale Senior Living,BKD,13.56,Assisted living,https://finviz.com/quote?t=BKD&p=d,BKD - Brookdale Senior Living Inc Stock Price and Quote
206,Santen Pharmaceutical Co. Ltd.,SZD,8.75,Ophthalmic Specialty Therapeutics,,
207,Beam Therapeutics,BEAM,31.75,Biotech 1.82%,https://finviz.com/quote?t=BEAM&p=d,BEAM - Beam Therapeutics Inc Stock Price and Quote
208,Veracyte Inc,VCYT,40.76,Biotech,https://finviz.com/quote?t=VCYT&p=d,VCYT - Veracyte Inc Stock Price and Quote
